_id,user,sequence
ObjectId(576b0e6a2e782e0005765284),ObjectId(576bd6adf35a5f0009048b6a),"[{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac120005687454""},{""$oid"":""575c15557fac12000568744e""}]"
ObjectId(576b0e6a2e782e0005765285),ObjectId(576bdb45f35a5f000a19b832),"[{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac120005687463""}]"
ObjectId(576b0e6b2e782e0005765286),ObjectId(576bdb45f35a5f000a19b833),"[{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c15557fac120005687478""}]"
ObjectId(576b0e6b2e782e0005765287),ObjectId(576bdb5ff35a5f0009048b70),"[{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac120005687465""},{""$oid"":""575c15557fac12000568746a""}]"
ObjectId(576b0e6b2e782e0005765288),ObjectId(576bdb6af35a5f0009048b71),"[{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac120005687453""}]"
ObjectId(576b0e6b2e782e0005765289),ObjectId(576bdb6df35a5f000a19b834),"[{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687469""}]"
ObjectId(576b0e6b2e782e000576528a),ObjectId(576bdb72f35a5f000a19b835),"[{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac12000568745e""}]"
ObjectId(576b0e6b2e782e000576528b),ObjectId(576bdb80f35a5f000a19b836),"[{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac120005687467""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac120005687473""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745c""}]"
ObjectId(576b0e6b2e782e000576528c),ObjectId(576bdb81f35a5f000a19b837),"[{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15557fac120005687477""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687479""}]"
ObjectId(576b0e6b2e782e000576528d),ObjectId(576bdb8df35a5f0009048b72),"[{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac120005687454""}]"
