_id,user,sequence
ObjectId(575d73d01e838700114d5e53),ObjectId(575e5dc96b1ea9000a05669b),"[{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c15557fac120005687458""}]"
ObjectId(575d73d01e838700114d5e54),ObjectId(575e82066fabee000ae46bf6),"[{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac12000568744e""},{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687466""}]"
ObjectId(575d73d01e838700114d5e55),ObjectId(575e88a95509f20009842e22),"[{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745a""}]"
ObjectId(575d73d01e838700114d5e56),ObjectId(575e95025509f20009842e27),"[{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac12000568746d""}]"
ObjectId(575d73d01e838700114d5e57),ObjectId(575e95065509f2000a171373),"[{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687477""},{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c15557fac120005687463""},{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac12000568747c""}]"
ObjectId(575d73e51e838700114d5e58),ObjectId(575e95065509f20009842e28),"[{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac120005687476""}]"
ObjectId(575d73e51e838700114d5e59),ObjectId(575e95065509f2000a171374),"[{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac120005687467""},{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687454""}]"
ObjectId(575d73e51e838700114d5e5a),ObjectId(575e950c5509f2000a171375),"[{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac120005687465""},{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac120005687473""}]"
ObjectId(575d73e51e838700114d5e5b),ObjectId(575e95125509f2000a171376),"[{""$oid"":""575c15557fac120005687453""},{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac12000568745b""}]"
ObjectId(575d73e51e838700114d5e5c),ObjectId(575e95135509f2000a171377),"[{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac12000568744e""},{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac12000568744f""}]"
ObjectId(575d73e51e838700114d5e5d),ObjectId(575e95155509f20009842e29),"[{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568746f""}]"
ObjectId(575d73e51e838700114d5e5e),ObjectId(575e95165509f2000a171378),"[{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac12000568747a""}]"
ObjectId(575d73e51e838700114d5e5f),ObjectId(575e951a5509f20009842e2a),"[{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687477""},{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c15557fac120005687463""}]"
ObjectId(575d73e61e838700114d5e60),ObjectId(575e951c5509f2000a171379),"[{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687475""}]"
ObjectId(575d73e61e838700114d5e61),ObjectId(575e951c5509f20009842e2b),"[{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac120005687467""}]"
ObjectId(575d73e61e838700114d5e62),ObjectId(575e951e5509f20009842e2c),"[{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687454""},{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac120005687465""}]"
ObjectId(575d73ea1e838700114d5e63),ObjectId(575e951e5509f2000a17137a),"[{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac120005687473""},{""$oid"":""575c15557fac120005687453""},{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac12000568745d""}]"
ObjectId(575d73eb1e838700114d5e64),ObjectId(575e951e5509f2000a17137b),"[{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac12000568744e""}]"
ObjectId(575d73eb1e838700114d5e65),ObjectId(575e95215509f20009842e2d),"[{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687457""}]"
ObjectId(575d73eb1e838700114d5e66),ObjectId(575e95215509f2000a17137c),"[{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687462""}]"
ObjectId(575d73eb1e838700114d5e67),ObjectId(575e95315509f2000a17137d),"[{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687477""}]"
